pic_name,textures,patterns,types,crafts,contours,hems,collars,sleeve_lengths,pant_lengths,coat_lengths,skirt_lengths,upper_dress_contours,styles,sleeve_types,plackets,kinds,fabrics,orientations,colors_2
80e9ee411b8fa71f9f8bac39df.jpg,格纹, 无图案,合身, 无装饰,直筒裤,常规,一字领,长袖,九分裤,不可见,短裙,H型, 通勤,灯笼袖,暗门襟,休闲裤,棉麻,正面,灰
e022b34072a89b5772b3c9cfc4.jpg,纯色, 无图案,紧身, 印花,铅笔裤,常规,圆领,长袖,长裤,及膝,中长裙,H型, 韩版 百搭,常规袖,暗门襟,休闲裤,摇粒绒,正面,黑
e022b34072a89b5772b3c9cfc4.jpg,拼色, 图形,合身, 印花,锥子裤,收口(束口),圆领,长袖,九分裤,常规,短裙,H型, 简约 百搭 休闲,常规袖,套头,卫衣,针织,正面,白
03f1f14930978923a1b1716b5c.jpg,拼色, 无图案,紧身, 无装饰,铅笔裤,常规,一字领,七分袖,七分裤,中长,中长裙,A型, 简约 百搭 休闲,常规袖,暗门襟,休闲裤,棉麻,侧面,蓝
03f1f14930978923a1b1716b5c.jpg,纯色, 文字,合身, 印花,直筒裤,常规,圆领,短袖,七分裤,常规,短裙,T型, 韩版 简约 休闲,常规袖,套头,T恤,棉麻,正面,黑
7116d3444a8a12a5757e8c3389.jpg,纯色, 无图案,合身, 印花,直筒裤,收口(束口),飞行员领,长袖,长裤,常规,中长裙,H型, 简约 百搭 休闲,落肩袖,套头,卫衣,棉麻,侧面,黑
7116d3444a8a12a5757e8c3389.jpg,纯色, 无图案,修身, 无装饰,直筒裤,毛边,抹胸领,无袖,五分裤,不可见,短裙,H型, 简约,插肩袖,暗门襟,半身裙,牛仔,正面,蓝绿
42af7a4e49b6ae3e8937ce645a.jpg,拼色, 无图案,合身, 无装饰,直筒裤,收口(束口),圆领,超长袖,长裤,常规,短裙,H型, 韩版 简约 百搭 休闲,落肩袖,套头,针织衫,针织,正面,灰
42af7a4e49b6ae3e8937ce645a.jpg,纯色, 无图案,合身, 无装饰,直筒裤,常规,一字领,长袖,长裤,常规,长裙,H型, 简约 休闲,落肩袖,暗门襟,牛仔裤,牛仔,背面,蓝
6daf7c42fca5163b3bb9e2da0a.jpg,纯色, 文字,合身, 印花,直筒裤,常规,圆领,短袖,短裤,常规,短裙,X型, 简约 百搭 休闲,落肩袖,套头,T恤,棉麻,正面,白
6daf7c42fca5163b3bb9e2da0a.jpg,条纹, 无图案,宽松, 无装饰,直筒裤,毛边,抹胸领,中袖,超短裤,不可见,超短裙,H型, 休闲,常规袖,暗门襟,牛仔裤,牛仔,背面,蓝
d89fa04c44bfd56253c9d35cd6.jpg,拼色, 卡通动漫,合身, 印花,锥子裤,常规,圆领,长袖,九分裤,常规,长裙,H型, 休闲,常规袖,暗门襟,休闲裤,棉麻,正面,紫
d89fa04c44bfd56253c9d35cd6.jpg,动物花纹, 文字 艺术效果,合身, 印花,锥子裤,常规,圆领,短袖,超短裤,常规,短裙,H型, 韩版 简约 百搭 休闲,常规袖,套头,T恤,棉麻,正面,黑
345b004d2aa871cca3c8ed4c92.jpg,纯色, 无图案,合身, 无装饰,阔腿裤,常规,圆领,长袖,长裤,常规,短裙,H型, 韩版 简约 百搭 休闲 甜美,插肩袖,套头,毛衣,针织,正面,白
345b004d2aa871cca3c8ed4c92.jpg,纯色, 无图案,宽松, 无装饰,裙裤,常规,抹胸领,不可见,不可见,不可见,不可见,A型, 简约 百搭 休闲,蝙蝠袖,暗门襟,半身裙,棉麻,截断,黑
a7d6e74625b9588995068a3bd7.jpg,纯色, 无图案,修身, 无装饰,锥子裤,常规,一字领,长袖,长裤,及膝,长裙,H型, 简约 百搭 休闲,常规袖,暗门襟,牛仔裤,牛仔,正面,黑
a7d6e74625b9588995068a3bd7.jpg,纯色, 文字,合身, 印花,铅笔裤,收口(束口),圆领,长袖,九分裤,常规,长裙,H型, 简约 百搭 休闲,落肩袖,套头,卫衣,棉麻,正面,蓝绿
9e88b243cc8a2407d8739ac971.jpg,纯色, 文字,合身, 印花,直筒裤,常规,衬衫领,长袖,长裤,常规,中裙,H型, 简约 百搭 休闲,常规袖,单排扣,夹克,棉麻,正面,蓝
9e88b243cc8a2407d8739ac971.jpg,纯色, 无图案,修身, 无装饰,锥子裤,常规,一字领,中袖,长裤,不可见,中长裙,H型, 简约,常规袖,暗门襟,西裤,棉麻,背面,黑
e23f1b44d8be26017b8eff737b.jpg,纯色, 文字 生活,合身, 印花,直筒裤,收口(束口),圆领,长袖,九分裤,常规,中裙,H型, 韩版 简约 百搭 休闲,常规袖,套头,卫衣,摇粒绒,正面,灰
e23f1b44d8be26017b8eff737b.jpg,纯色, 无图案,合身, 无装饰,锥子裤,收口(束口),一字领,长袖,长裤,及膝,长裙,H型, 韩版 简约 百搭 休闲,常规袖,暗门襟,休闲裤,棉麻,正面,黑
71061e4eb99a9bed7159dbdf92.jpg,纯色, 文字 卡通动漫,合身, 印花,直筒裤,收口(束口),圆领,长袖,长裤,常规,中长裙,H型, 简约 百搭 休闲,插肩袖,套头,卫衣,棉麻,正面,白
71061e4eb99a9bed7159dbdf92.jpg,纯色, 无图案,合身, 无装饰,直筒裤,常规,抹胸领,七分袖,短裤,常规,短裙,H型, 简约 百搭 休闲,常规袖,暗门襟,短裤,棉麻,正面,黑
cc9f364bb489eaa6ea6f6eae2e.jpg,纯色, 无图案,合身, 无装饰,阔腿裤,收口(束口),连帽,长袖,长裤,常规,长裙,H型, 简约 百搭 休闲,常规袖,套头,针织衫,摇粒绒,背面,紫红
cc9f364bb489eaa6ea6f6eae2e.jpg,纯色, 无图案,修身, 无装饰,锥子裤,常规,一字领,长袖,九分裤,常规,长裙,H型, 休闲,常规袖,暗门襟,牛仔裤,牛仔,背面,黑
4d490848048aa7b5ecca4ddea0.jpg,拼色, 文字,宽松, 无装饰,喇叭裤,常规,一字领,超长袖,长裤,不可见,中裙,X型, 休闲,常规袖,暗门襟,休闲裤,棉麻,非服饰,黑
4d490848048aa7b5ecca4ddea0.jpg,条纹, 无图案,宽松, 无装饰,铅笔裤,常规,常规半高领,超长袖,九分裤,常规,短裙,H型, 简约 百搭,常规袖,套头,T恤,棉麻,背面,灰
1cb36947adb42c9335e6626d3d.jpg,纯色, 文字,合身, 印花,直筒裤,常规,衬衫领,长袖,九分裤,中长,短裙,H型, 简约 百搭 休闲,衬衫袖,单排扣,衬衫,棉麻,正面,蓝
1cb36947adb42c9335e6626d3d.jpg,纯色, 无图案,修身, 无装饰,锥子裤,常规,披肩领,长袖,长裤,常规,长裙,X型, 简约 休闲,常规袖,暗门襟,休闲裤,牛仔,背面,黑
8b6b244504a2ebb668be2a4dd4.jpg,纯色, 无图案,合身, 无装饰,灯笼裤,常规,常规高领,长袖,九分裤,常规,中裙,H型, 简约 休闲,常规袖,套头,羽绒服,棉麻,背面,黑
8b6b244504a2ebb668be2a4dd4.jpg,纯色, 无图案,修身, 无装饰,直筒裤,常规,披肩领,长袖,长裤,不可见,短裙,H型, 简约 休闲 运动,常规袖,暗门襟,休闲裤,棉麻,背面,黑
3b041743ecb24ae713a11f3b40.jpg,纯色, 无图案,合身, 无装饰,锥子裤,收口(束口),常规高领,长袖,短裤,常规,短裙,H型, 百搭 休闲 甜美 淑女,插肩袖,套头,针织衫,针织,正面,卡其
3b041743ecb24ae713a11f3b40.jpg,纯色, 无图案,宽松, 无装饰,直筒裤,常规,一字领,超长袖,不可见,不可见,不可见,H型, 休闲,常规袖,暗门襟,短裤,牛仔,截断,蓝
f1241640b4b64942c37263fd7f.jpg,纯色, 无图案,合身, 无装饰,直筒裤,常规,常规高领,长袖,九分裤,常规,短裙,H型, 简约,常规袖,套头,针织衫,针织,背面,红
f1241640b4b64942c37263fd7f.jpg,纯色, 无图案,合身, 无装饰,阔腿裤,开叉,一字领,中袖,七分裤,及膝,中长裙,H型, 韩版 简约,常规袖,无门襟,半身裙,针织,正面,黑
b10f0e45df8fc777113190d0fb.jpg,纯色, 文字,合身, 无装饰,锥子裤,收口(束口),常规半高领,无袖,长裤,常规,短裙,H型, 简约 百搭 休闲,常规袖,暗门襟,休闲裤,丝绒,侧面,黑
b10f0e45df8fc777113190d0fb.jpg,拼色, 无图案,合身, 无装饰,直筒裤,收口(束口),常规高领,长袖,长裤,常规,长裙,H型, 韩版 简约,常规袖,套头,卫衣,棉麻,侧面,紫
9ec608413e9b4d6e1e018338a9.jpg,纯色, 艺术效果,修身, 破洞,铅笔裤,毛边,抹胸领,超长袖,九分裤,中长,中裙,H型, 简约 休闲,常规袖,暗门襟,休闲裤,牛仔,正面,蓝
9ec608413e9b4d6e1e018338a9.jpg,拼色, 文字,合身, 印花,直筒裤,常规,圆领,中袖,九分裤,不可见,中裙,H型, 韩版 简约 百搭 休闲,落肩袖,套头,T恤,棉麻,正面,灰
e7a90844dea08a3d0ae58d0158.jpg,纯色, 无图案,合身, 印花,阔腿裤,常规,圆领,短袖,九分裤,常规,短裙,H型, 韩版 简约 百搭 休闲,常规袖,套头,T恤,棉麻,正面,蓝
e7a90844dea08a3d0ae58d0158.jpg,纯色, 无图案,合身, 无装饰,直筒裤,常规,抹胸领,长袖,五分裤,不可见,不可见,H型, 简约 休闲,常规袖,暗门襟,短裤,棉麻,背面,灰
09093d4c3a90f067872398b163.jpg,纯色, 无图案,宽松, 无装饰,铅笔裤,常规,常规高领,长袖,九分裤,不可见,短裙,H型, 韩版 简约 百搭 休闲,落肩袖,套头,毛衣,针织,正面,灰
09093d4c3a90f067872398b163.jpg,纯色, 无图案,紧身, 无装饰,铅笔裤,常规,一字领,长袖,长裤,及膝,长裙,H型, 简约 百搭 休闲,包袖,暗门襟,休闲裤,棉麻,背面,黑
47617949bba1cdc4bd1a93e908.jpg,拼色, 文字,合身, 绣花,直筒裤,收口(束口),常规半高领,长袖,九分裤,中长,短裙,H型, 简约 百搭 休闲,落肩袖,拉链,卫衣,棉麻,正面,灰
47617949bba1cdc4bd1a93e908.jpg,纯色, 无图案,合身, 无装饰,锥子裤,收口(束口),一字领,长袖,长裤,常规,中裙,H型, 简约,蝙蝠袖,暗门襟,休闲裤,棉麻,背面,灰
6962a441b895f1ef6e14ceb69a.jpg,纯色, 文字,宽松, 无装饰,直筒裤,常规,西装领,短袖,长裤,常规,中裙,H型, 韩版 简约 休闲,衬衫袖,暗门襟,休闲裤,棉麻,正面,卡其
